route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
133cd2708a3fdd1f2f23d62953395af3,100047,18B,Viljandi - Tuhalaane - Polli - Karksi-Nuia - Lilli,3,3bb5db,Viljandi MV,"Liin ei ole käigus riiklikel pühadel<br>Väljumine 19:18: Teenindatakse nõudeliinina ettetellimisel tel. 4340089 hiljemalt eelmine päev kell 18:00<br>Väljumine 18:15: Peatused ""Karksi-Nuia""  kuni  ""Lilli""  teenindatakse nõudepeatusena väljumiseks reisijate soovil"
535c054371807b4c9f71a420a3deb8bf,60,18B,Valga - Vilaski - Antsla,3,3bb5db,Valga MV,
18da16ddc76af4298946910a95e42de7,60,18C,Antsla - Vilaski - Valga bussijaam,3,3bb5db,Valga MV,
18c28e3851af5ac5441c38978ed5348c,60,18E,Valga - Lüllemäe - Antsla,3,3bb5db,Valga MV,"Liin on käigus ka riigipühadel<br>alates 02.04.2023 teenindatakse Kirbu, Purika, Väheru, Palumatsi, Väike-Väheru, Matu, Tuulemäe, Musta, Kikati, Lustimõisa, Lusti, Ansioja peatusi nõudepeatustena.  Väljumise soovist selles peatuses teavitada bussijuhti bussi sisenemisel. Sisenemise soovi korral teatada hiljemalt 2 tundi enne liini algpeatusest väljumist tel 6404000."
f1097dcb23c511ceee9f89f3fef0b993,60,18H,Lüllemäe - Antsla,3,3bb5db,Valga MV,"Liin on käigus koolipäevadel.Lõiku Lüllemäe-Vähero-Lüllemäe teenindatakse nõudeliinina. Vajalik ettetellimine telef.6404000"
0664e671b96a6d98856302f1231442e4,60,18I,Valga bussijaam - Lüllemäe -Antsla,3,3bb5db,Valga MV,"Liin on käigus koolivaheaegadel E, K, R<br>Liin ei ole käigus riigipühadel"
5cb223e7935b5694de70621be42b1e03,60,18J,Antsla - Lüllemäe,3,3bb5db,Valga MV,"Liin on käigus koolipäevadel.<br>Ratsimäe ja Töökoja peatust teenindatakse ainult nõudmisel väljumiseks"
001fbbfb91377d12319307681cd64442,60,18K,Antsla-Lüllemäe-Vähero-Valga,3,3bb5db,Valga MV,"Liin on käigus koolipäevadel<br>Ratsimäe peatust teenindatakse ainult nõudmisel väljumiseks"
b15feeb6d3e39636279bea7febe2524d,60,18L,Valga - Lüllemäe - Antsla,3,3bb5db,Valga MV,"Liin ei ole käigus riigipühadel"
a88f0ff3e05fa916779c0ab3602fe9d2,60,18M,Antsla -Lüllemäe- Valga bussijaam,3,3bb5db,Valga MV,"Liin ei ole käigus riigipühadel<br>Liin on  käigus ainult koolivaheaegadel"
6966dd899a36292aaa721b39da892d9f,295,18V,Tallinn - Võsu - Kunda - Aseri,3,3bb5db,Lääne-Viru MV,"Peatuses Viru raba ümberistumine liinilt/liinile 61"
ad7e29ed3021bdc8539953568b4c60eb,50,19,Raja - Mai - Karja - Tallinna mnt - Lõo,3,de2c42,Pärnu LV,"Teatri ja Raja peatustes kohtumine liini 14 bussiga<br>Tallinna maantee Raeküla suuna kohttumispeatus liini nr. 14 bussiga üle viidud Bussijaama peatusse"
a22682e44069fd122e59b917ba9604b4,60,19,Ahja -Imma-Ahja- Vahemetsa - Mõtsküla - Ahja,3,3bb5db,Põlva MV,"Käigus koolipäevadel."
3dda0b56b8ccc4d6e5615e6352b25741,60,19,Rapla - Pirgu - Järlepa - Kohila,3,3bb5db,Rapla MV,
ddfbb7a12acfae8741ff13541b9185a3,295,19,Rakvere - Vihula - Vergi - Võsu - Rakvere,3,3bb5db,Lääne-Viru MV,"Liin ei ole käigus riigipühadel"
32026b0d3dbaa249110096b351b7cda8,898970,190,Pala - Kääpa - Voore - Palamuse - Kuremaa - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin on käigus ka riigipühadel, kui riigipühale järgneb tööpäev"
563b2bc7237597861821e72b92c54310,60,190,Asunduse kauplus - Miikse - Möldri - Vastseliina,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
d984347b34fc2c1d8fdb930c9bb518f9,898970,191,Jõgeva - Kuremaa - Palamuse - Tabivere - Tartu,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>Buss peatub peatustes Salvest ja Vene reisijate väljumiseks"
3110d53463e3139b03ca7f22fc9abeff,60,191,Vastseliina - Möldri - Miikse - Asunduse kauplus,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
bb9de804476ef56dfe5f44e51beb12df,50,191,Tallinn - Saue,3,3bb5db,Harjumaa ÜTK,
86a5a981de37169b1156b2d5d41d6f25,78,192,Tartu - Võru,3,660000,Maanteeamet,
