bus,3,85200,85200,Pelguranna,1629,Z
bus,85,85261,85261,Balti jaam,1690,Z
bus,59,85379,85379,Balti jaam,1808,Z
bus,84,85430,85430,Balti jaam,1859,Z
bus,41,85584,85584,Balti jaam,2013,Z
bus,2,85933,85933,Balti jaam,2362,Z
bus,21,86039,86039,Balti jaam,2468,Z
bus,85,86341,86341,Balti jaam,2770,Z
bus,84,86630,86630,Balti jaam,3059,Z
bus,66,86700,86700,Priisle,3129,Z
bus,41,86741,86741,Balti jaam,3170,Z
bus,21,83593,83519,Balti jaam,7,Z
bus,8,83833,83779,Äigrumäe,247,Z
bus,3,84130,84120,Pelguranna,544,Z
bus,85,84211,84187,Balti jaam,625,Z
bus,41,84298,84282,Balti jaam,712,Z
bus,84,84360,84350,Balti jaam,774,Z
bus,2,84625,84667,Balti jaam,1039,Z
bus,8,84937,84937,Äigrumäe,1351,Z
bus,21,85007,84779,Balti jaam,1421,Z
bus,66,85020,85020,Priisle,1434,Z
bus,3,85200,85200,Pelguranna,1614,Z
bus,85,85261,85261,Balti jaam,1675,Z
bus,59,85379,85379,Balti jaam,1793,Z
bus,84,85430,85430,Balti jaam,1844,Z
bus,41,85584,85584,Balti jaam,1998,Z
bus,2,85933,85933,Balti jaam,2347,Z
bus,21,86039,86039,Balti jaam,2453,Z
bus,85,86341,86341,Balti jaam,2755,Z
bus,84,86630,86630,Balti jaam,3044,Z
bus,66,86700,86700,Priisle,3114,Z
bus,41,86741,86741,Balti jaam,3155,Z
bus,2,87181,87181,Balti jaam,3595,Z
bus,8,83827,83779,Äigrumäe,225,Z
bus,3,84126,84120,Pelguranna,524,Z
bus,85,84199,84187,Balti jaam,597,Z
bus,41,84292,84282,Balti jaam,690,Z
bus,84,84360,84350,Balti jaam,758,Z
bus,2,84659,84667,Balti jaam,1057,Z
bus,8,84937,84937,Äigrumäe,1335,Z
bus,21,84997,84779,Balti jaam,1395,Z
bus,66,85020,85020,Priisle,1418,Z
bus,3,85200,85200,Pelguranna,1598,Z
bus,85,85261,85261,Balti jaam,1659,Z
bus,59,85379,85379,Balti jaam,1777,Z
bus,84,85430,85430,Balti jaam,1828,Z
bus,41,85584,85584,Balti jaam,1982,Z
bus,2,85933,85933,Balti jaam,2331,Z
bus,21,86039,86039,Balti jaam,2437,Z
bus,85,86341,86341,Balti jaam,2739,Z
bus,84,86630,86630,Balti jaam,3028,Z
bus,66,86700,86700,Priisle,3098,Z
bus,41,86741,86741,Balti jaam,3139,Z
bus,2,87181,87181,Balti jaam,3579,Z
bus,8,83845,83779,Äigrumäe,228,Z
bus,3,84112,84120,Pelguranna,495,Z
bus,85,84217,84187,Balti jaam,600,Z
bus,41,84292,84282,Balti jaam,675,Z
bus,84,84360,84350,Balti jaam,743,Z
bus,2,84673,84667,Balti jaam,1056,Z
bus,8,84937,84937,Äigrumäe,1320,Z
bus,21,84993,84779,Balti jaam,1376,Z
bus,66,85020,85020,Priisle,1403,Z
bus,3,85200,85200,Pelguranna,1583,Z
bus,85,85261,85261,Balti jaam,1644,Z
bus,59,85379,85379,Balti jaam,1762,Z
bus,84,85430,85430,Balti jaam,1813,Z
bus,41,85584,85584,Balti jaam,1967,Z
bus,2,85933,85933,Balti jaam,2316,Z
bus,21,86039,86039,Balti jaam,2422,Z
bus,85,86341,86341,Balti jaam,2724,Z
bus,84,86630,86630,Balti jaam,3013,Z
bus,66,86700,86700,Priisle,3083,Z
bus,41,86741,86741,Balti jaam,3124,Z
bus,2,87181,87181,Balti jaam,3564,Z
bus,8,83845,83779,Äigrumäe,213,Z
bus,3,84112,84120,Pelguranna,480,Z
bus,85,84217,84187,Balti jaam,585,Z
bus,41,84292,84282,Balti jaam,660,Z
bus,84,84360,84350,Balti jaam,728,Z
bus,2,84673,84667,Balti jaam,1041,Z
bus,8,84937,84937,Äigrumäe,1305,Z
bus,21,84993,84779,Balti jaam,1361,Z
bus,66,85020,85020,Priisle,1388,Z
bus,3,85200,85200,Pelguranna,1568,Z
bus,85,85261,85261,Balti jaam,1629,Z
bus,59,85379,85379,Balti jaam,1747,Z
bus,84,85430,85430,Balti jaam,1798,Z
bus,41,85584,85584,Balti jaam,1952,Z
bus,2,85933,85933,Balti jaam,2301,Z
bus,21,86039,86039,Balti jaam,2407,Z
bus,85,86341,86341,Balti jaam,2709,Z
bus,84,86630,86630,Balti jaam,2998,Z
bus,66,86700,86700,Priisle,3068,Z
bus,41,86741,86741,Balti jaam,3109,Z
bus,2,87181,87181,Balti jaam,3549,Z
bus,8,83829,83779,Äigrumäe,181,Z
bus,3,84126,84120,Pelguranna,478,Z
bus,85,84215,84187,Balti jaam,567,Z
bus,41,84292,84282,Balti jaam,644,Z
bus,84,84360,84350,Balti jaam,712,Z
bus,2,84677,84667,Balti jaam,1029,Z
bus,8,84937,84937,Äigrumäe,1289,Z
bus,21,85005,84779,Balti jaam,1357,Z
bus,66,85020,85020,Priisle,1372,Z
bus,3,85200,85200,Pelguranna,1552,Z
bus,85,85261,85261,Balti jaam,1613,Z
bus,59,85379,85379,Balti jaam,1731,Z
bus,84,85430,85430,Balti jaam,1782,Z
bus,41,85584,85584,Balti jaam,1936,Z
bus,2,85933,85933,Balti jaam,2285,Z
bus,21,86039,86039,Balti jaam,2391,Z
bus,85,86341,86341,Balti jaam,2693,Z
bus,84,86630,86630,Balti jaam,2982,Z
bus,66,86700,86700,Priisle,3052,Z
bus,41,86741,86741,Balti jaam,3093,Z
bus,2,87181,87181,Balti jaam,3533,Z
bus,8,83811,83779,Äigrumäe,148,Z
bus,3,84130,84120,Pelguranna,467,Z
bus,85,84213,84187,Balti jaam,550,Z
bus,41,84292,84282,Balti jaam,629,Z
bus,84,84360,84350,Balti jaam,697,Z
bus,2,84677,84667,Balti jaam,1014,Z
bus,8,84937,84937,Äigrumäe,1274,Z
bus,21,85003,84779,Balti jaam,1340,Z
bus,66,85020,85020,Priisle,1357,Z
bus,3,85200,85200,Pelguranna,1537,Z
bus,85,85261,85261,Balti jaam,1598,Z
bus,59,85379,85379,Balti jaam,1716,Z
bus,84,85430,85430,Balti jaam,1767,Z
bus,41,85584,85584,Balti jaam,1921,Z
bus,2,85933,85933,Balti jaam,2270,Z
bus,21,86039,86039,Balti jaam,2376,Z
bus,85,86341,86341,Balti jaam,2678,Z
bus,84,86630,86630,Balti jaam,2967,Z
bus,66,86700,86700,Priisle,3037,Z
bus,41,86741,86741,Balti jaam,3078,Z
bus,2,87181,87181,Balti jaam,3518,Z
bus,8,83811,83779,Äigrumäe,133,Z
bus,3,84130,84120,Pelguranna,452,Z
bus,85,84213,84187,Balti jaam,535,Z
bus,41,84292,84282,Balti jaam,614,Z
bus,84,84360,84350,Balti jaam,682,Z
bus,2,84677,84667,Balti jaam,999,Z
bus,8,84937,84937,Äigrumäe,1259,Z
bus,21,85003,84779,Balti jaam,1325,Z
bus,66,85020,85020,Priisle,1342,Z
bus,3,85200,85200,Pelguranna,1522,Z
bus,85,85261,85261,Balti jaam,1583,Z
bus,59,85379,85379,Balti jaam,1701,Z
bus,84,85430,85430,Balti jaam,1752,Z
bus,41,85584,85584,Balti jaam,1906,Z
